21,33,62,39,96,14,6,38,59,64,89,42,84,5,97,50,31,72,37,60,74,82,83,90,94,55,56,88,100,22,92,15,18,7,17,49,48,1,2,9,57,70,78,47,81,11,69,23,63,99,4,13,25,54,19,30,58,95,32,40,91,53,10,8,52,67,34,85,76,41,35,93,65,61,77,16,12,43,36,20,86,3,98,29,75,73,87,71,68,79,26,66,51,24,44,80,45,46,27,28
32,99,66,26,8,77,71,85,61,40,23,68,87,36,63,67,4,54,19,79,44,30,76,13,73,20,93,28,29,46,3,58,24,43,75,34,95,16,86,35,25,80,45,51,91,53,10,52,12,98,69,27,65,41,9,37,38,57,21,50,70,74,47,31,15,7,59,100,60,83,18,72,1,89,48,82,5,64,56,22,42,88,90,97,49,6,92,39,96,81,33,17,62,2,14,11,94,55,78,84
92,33,39,89,2,7,1,84,18,90,47,72,59,100,49,56,70,60,42,64,17,9,5,21,82,97,15,62,50,78,37,81,55,94,83,96,48,38,6,31,14,57,74,11,88,22,12,28,69,58,26,51,99,52,44,4,91,80,95,13,30,24,45,32,79,61,98,75,43,19,35,73,53,10,41,23,93,40,86,68,54,77,29,3,76,65,20,63,66,46,67,85,16,34,8,71,27,87,36,25
78,6,74,22,31,60,15,81,97,94,11,18,42,84,33,47,39,70,14,88,62,7,2,83,59,1,57,89,37,56,55,92,90,82,72,5,100,21,96,17,38,50,9,49,64,48,67,53,20,23,86,32,99,87,12,29,66,54,40,27,52,3,45,93,51,43,91,26,36,77,19,75,4,79,80,44,95,71,58,16,35,68,76,98,41,10,46,65,13,24,34,73,28,63,85,25,69,8,61,30
32,93,13,40,79,67,99,26,76,52,46,45,66,95,91,87,53,54,80,24,41,63,61,36,34,28,30,85,98,58,29,68,4,8,12,10,43,51,75,16,19,25,69,35,71,44,65,23,77,86,3,73,20,27,48,37,50,83,64,56,78,59,7,5,70,96,74,33,38,90,21,17,92,47,9,81,15,14,94,100,39,60,84,88,1,42,31,22,49,72,57,62,2,18,89,97,6,55,11,82
58,85,34,67,25,23,35,52,45,26,71,36,16,24,73,43,8,54,91,86,3,12,95,51,32,27,28,19,76,63,80,93,68,46,79,41,30,98,20,75,66,44,69,40,10,77,65,87,99,61,29,4,53,13,70,81,1,94,9,72,82,38,2,18,5,37,78,90,74,62,21,89,15,39,6,64,14,33,47,49,11,60,7,97,56,59,96,17,42,55,22,48,31,100,57,84,83,88,50,92
58,36,35,53,43,24,16,85,28,10,91,4,95,71,41,77,45,3,26,54,13,66,69,75,79,46,25,61,73,27,32,98,86,44,29,99,93,76,63,65,8,30,87,52,67,68,40,23,80,51,12,34,19,20,2,55,17,84,82,31,70,18,64,7,38,96,100,74,56,92,15,59,42,9,88,21,11,47,1,14,78,62,60,5,39,57,94,22,49,97,90,48,6,33,81,72,50,89,37,83
75,61,99,41,71,3,73,68,93,51,27,54,58,8,52,66,87,16,28,95,67,91,44,65,86,34,30,20,4,69,25,40,45,76,80,63,19,13,12,53,85,79,23,29,35,77,24,26,98,43,32,10,36,46,17,18,62,50,31,21,83,49,70,88,39,78,72,81,1,48,11,42,56,100,33,15,82,7,97,55,59,5,38,6,89,84,90,2,57,92,22,9,94,60,47,96,74,14,64,37
89,55,84,49,83,21,38,57,31,70,97,88,78,96,62,47,72,81,48,1,6,94,59,74,90,33,82,14,42,11,60,2,92,56,9,7,17,50,15,39,18,22,37,100,64,5,61,26,80,28,19,99,85,8,51,86,77,29,75,32,44,25,46,3,91,68,63,54,98,76,58,43,30,27,13,34,12,23,79,36,16,4,10,65,95,20,24,87,69,67,45,52,53,40,41,35,73,93,66,71
38,94,50,100,70,17,22,96,60,84,55,42,33,97,11,82,18,89,21,57,47,83,92,48,78,56,74,90,62,7,5,64,6,1,15,81,31,59,14,2,37,72,39,49,9,88,87,63,66,68,20,8,80,23,98,67,71,54,12,25,76,13,27,95,34,4,73,43,44,77,24,26,53,45,79,46,40,65,30,16,86,51,10,75,35,58,52,69,28,61,36,99,19,32,41,91,29,3,85,93
43,27,28,4,32,23,30,34,20,24,52,41,85,68,51,91,79,75,76,71,35,66,98,67,40,61,26,95,69,13,99,80,10,86,44,29,54,46,65,63,36,25,87,12,16,53,73,77,3,8,19,58,45,93,31,89,78,90,39,11,37,81,100,74,42,9,22,17,94,2,59,62,49,47,72,14,88,83,64,56,7,97,70,33,60,6,50,18,21,84,55,5,38,1,57,82,15,48,96,92
37,62,96,59,38,89,60,90,72,15,74,78,81,39,82,94,49,1,70,83,56,22,9,2,6,21,17,97,47,14,100,84,92,33,18,42,7,55,50,64,88,5,48,11,57,31,40,3,29,69,43,19,25,58,65,45,80,20,53,32,71,27,23,61,28,46,54,95,85,75,79,35,91,98,13,4,52,76,73,68,51,41,16,24,63,86,8,67,87,36,93,44,10,30,34,12,99,66,26,77
21,72,33,82,17,11,84,39,74,96,18,22,89,59,62,97,50,49,7,38,47,42,78,88,6,90,81,83,9,2,56,14,5,1,94,60,64,15,55,57,92,37,100,31,70,48,16,29,65,95,12,71,45,19,41,58,23,85,40,98,3,99,63,73,27,25,32,8,52,69,36,93,67,54,76,10,4,61,20,79,24,86,80,28,75,46,53,51,87,35,13,30,43,26,66,34,68,44,77,91
59,7,15,9,74,89,81,6,50,88,5,96,90,100,64,70,56,33,78,72,57,49,18,42,31,47,21,22,39,14,1,60,17,84,83,82,62,94,97,55,2,37,38,92,48,11,65,35,73,69,85,80,34,93,54,58,28,41,75,71,29,8,26,52,66,63,45,30,95,51,12,61,27,16,86,44,76,91,79,10,40,24,3,99,25,68,46,20,43,19,67,77,36,98,4,23,13,87,32,53
86,69,36,85,44,91,99,53,61,3,52,75,13,77,41,16,67,25,80,54,76,29,19,51,63,35,27,8,95,32,10,79,87,23,58,98,43,12,4,40,30,20,68,26,24,73,28,66,45,71,46,93,34,65,1,74,81,7,62,11,42,48,55,64,37,60,39,84,92,72,82,6,50,59,22,96,94,38,97,2,33,14,90,47,5,89,49,18,83,17,31,9,88,21,100,78,15,57,70,56
18,83,94,38,39,21,7,6,60,56,1,78,90,84,11,96,55,15,22,57,74,5,97,49,81,2,82,64,31,92,9,37,72,47,100,88,33,62,70,48,14,17,42,50,59,89,3,12,75,45,66,23,41,87,27,67,95,32,76,86,63,13,91,93,16,53,65,36,61,43,46,52,69,98,24,68,19,79,35,44,28,29,80,8,71,34,51,99,30,4,10,73,85,77,58,20,25,40,26,54
35,10,45,95,28,23,40,25,13,36,16,32,34,20,87,53,99,91,46,69,61,29,51,19,66,27,76,63,77,54,30,8,12,52,71,80,41,65,4,43,85,79,68,86,93,98,67,58,26,24,44,73,75,3,72,81,83,7,5,37,49,92,100,97,94,60,70,56,96,78,90,11,50,2,6,39,57,62,47,17,31,22,15,42,82,48,38,21,89,9,59,33,14,64,18,74,84,88,55,1
90,89,7,37,83,39,88,31,82,2,97,48,96,62,70,100,9,21,17,33,84,38,22,78,55,94,1,14,18,50,92,60,42,15,74,56,72,6,49,59,11,81,57,5,64,47,41,61,29,35,26,63,53,13,58,43,67,8,45,46,23,87,3,30,19,85,32,91,71,79,77,69,99,65,36,75,68,4,93,86,34,52,24,54,80,12,40,27,28,25,66,20,44,95,73,98,16,51,10,76
53,52,69,40,32,54,13,65,75,87,12,80,44,23,63,43,91,77,45,25,71,8,20,19,86,98,24,36,16,41,27,35,29,61,10,68,73,93,3,95,66,26,79,51,99,58,46,67,4,76,28,34,30,85,50,92,5,78,21,31,94,18,62,47,39,17,88,33,97,64,72,7,60,96,57,37,84,14,70,83,15,55,38,42,11,89,6,1,2,82,56,49,9,90,48,100,22,74,81,59
50,88,97,18,7,82,81,74,89,56,60,70,22,84,100,14,72,39,94,37,59,31,38,49,92,96,9,2,42,57,90,15,78,55,6,48,64,62,17,21,5,11,33,47,1,83,46,77,69,4,24,85,65,87,40,43,30,3,98,80,99,63,52,41,76,71,29,32,61,27,54,19,53,93,35,13,20,23,16,34,45,44,95,79,73,68,25,26,51,10,8,28,12,91,36,75,67,86,66,58
14,31,33,11,60,55,17,78,47,50,59,94,97,39,21,81,83,56,92,7,15,74,6,5,22,90,88,89,49,42,64,38,9,100,48,84,18,2,70,37,57,72,62,82,1,96,19,67,24,69,40,20,73,52,25,35,65,87,10,30,26,45,3,34,46,76,44,41,28,80,8,4,77,63,95,99,53,93,51,36,86,98,66,12,13,16,79,23,54,71,58,27,32,85,68,91,61,29,75,43
80,43,53,10,44,79,30,86,3,4,54,76,32,65,24,45,13,95,58,35,46,75,93,87,61,85,20,28,73,40,41,98,71,25,12,27,91,67,36,29,68,19,8,63,34,52,77,26,69,99,51,23,16,66,31,2,21,47,9,59,81,72,94,33,17,18,84,90,92,89,64,6,74,22,49,100,83,57,50,70,37,56,38,14,60,62,48,39,82,7,88,96,11,5,1,55,78,15,97,42
16,65,85,91,76,66,52,86,32,58,99,3,8,25,34,44,75,29,77,46,53,73,54,68,30,79,19,61,23,36,87,69,13,26,40,27,35,80,28,67,51,93,43,20,10,71,4,41,24,63,95,45,12,98,70,55,21,88,7,1,97,38,48,47,82,78,18,49,92,84,22,57,11,37,2,94,72,50,89,15,42,62,39,33,31,5,81,83,100,6,9,56,59,96,14,90,60,64,74,17
96,37,31,60,48,6,74,97,21,57,92,82,81,7,88,50,42,55,22,56,11,14,64,94,83,18,100,9,5,78,17,33,49,70,2,59,62,39,72,47,84,38,1,89,90,15,12,67,23,26,76,20,71,8,75,36,58,91,44,79,27,46,35,10,13,51,43,19,29,52,80,85,40,16,73,24,53,4,25,45,86,87,77,41,61,65,66,98,32,3,30,99,34,95,28,54,69,93,68,63
19,67,77,86,85,8,99,40,13,58,69,26,25,46,63,10,45,34,16,53,76,80,27,3,51,61,41,52,79,87,12,20,23,29,73,43,32,71,91,30,44,98,93,28,54,68,66,24,35,65,36,4,75,95,47,49,97,55,17,56,5,92,81,94,72,33,38,74,6,14,59,64,50,18,100,57,2,60,88,90,22,1,70,84,89,39,37,42,31,83,78,96,7,21,62,82,11,9,48,15
41,30,46,43,58,85,67,79,32,8,35,54,13,24,29,98,44,63,40,95,73,36,19,12,80,10,51,45,3,25,4,26,27,16,52,66,68,99,69,77,87,53,61,23,75,91,76,20,86,93,34,71,28,65,2,14,33,81,70,15,72,1,50,7,100,90,38,55,57,96,97,82,17,78,92,49,64,60,37,5,89,42,59,94,9,18,6,47,88,84,83,56,39,62,21,31,48,74,11,22
10,26,51,23,58,66,32,3,4,20,12,24,63,75,71,69,36,45,80,98,85,25,68,28,76,61,53,95,16,86,40,67,27,65,34,52,29,41,91,35,30,8,99,54,43,87,79,93,19,13,77,44,46,73,17,78,49,84,6,18,89,82,7,100,33,96,15,38,97,39,31,55,14,57,59,90,94,74,88,47,50,37,62,1,2,81,64,11,83,48,42,60,72,22,56,21,70,5,92,9
19,80,65,24,36,35,3,91,76,61,44,68,52,67,99,53,54,20,16,46,58,75,10,30,51,45,66,29,27,34,40,8,23,26,69,13,87,28,25,71,12,4,98,43,93,79,73,77,85,86,41,95,32,63,22,7,49,14,37,94,78,74,48,17,11,84,1,38,100,96,50,82,97,55,83,15,6,88,39,2,47,72,57,59,56,5,89,60,42,70,9,21,81,64,90,92,31,33,62,18
32,51,63,91,12,67,61,77,10,3,29,28,86,75,93,66,99,27,30,35,41,46,16,98,53,8,80,24,40,69,52,43,87,23,73,85,76,4,71,68,19,95,20,26,44,58,54,25,45,34,36,13,79,65,31,90,11,84,18,88,33,15,82,60,1,7,2,47,55,72,56,6,100,97,96,92,38,83,49,74,78,70,81,42,14,5,22,57,89,48,64,17,9,21,37,59,94,39,50,62
46,24,86,69,36,87,20,65,93,51,43,54,30,44,35,77,8,71,45,66,12,73,76,58,61,80,79,13,26,41,28,98,27,29,95,40,10,75,85,16,67,52,99,91,3,23,19,4,68,34,63,32,25,53,90,37,2,84,89,74,92,21,14,97,56,55,64,60,62,48,47,11,72,31,100,83,17,70,81,7,82,78,88,5,57,96,33,22,94,18,38,49,42,50,9,59,6,39,15,1
65,58,87,10,30,61,98,85,29,93,20,71,75,76,23,16,27,80,66,8,35,24,91,79,44,52,25,68,67,19,99,51,53,32,77,3,45,46,41,73,54,43,86,26,40,12,13,69,95,63,36,4,34,28,39,56,83,18,48,57,70,81,47,74,100,9,84,14,50,22,17,15,89,92,72,97,33,60,6,31,59,7,2,96,94,21,49,62,42,11,78,55,1,82,88,37,5,90,64,38
