image_filename,class_number
im_4_0.png,0
im_21_0.png,0
im_9_0.png,0
im_8_0.png,0
im_15_0.png,0
im_1_0.png,0
im_13_0.png,0
im_0_0.png,0
im_19_0.png,0
im_24_0.png,0
im_20_0.png,0
im_23_0.png,0
im_11_0.png,0
im_3_0.png,0
im_26_0.png,0
im_16_0.png,0
im_14_0.png,0
im_6_0.png,0
im_17_0.png,0
im_12_0.png,0
im_2_0.png,0
im_5_0.png,0
im_10_0.png,0
im_25_0.png,0
im_18_0.png,0
im_22_0.png,0
im_7_0.png,0
im_39_1.png,0
im_42_1.png,0
im_38_1.png,0
im_74_1.png,0
im_64_1.png,0
im_41_1.png,0
im_16_1.png,0
im_54_1.png,0
im_27_1.png,0
im_69_1.png,0
im_22_1.png,0
im_15_1.png,0
im_6_1.png,0
im_9_1.png,0
im_63_1.png,0
im_66_1.png,0
im_11_1.png,0
im_10_1.png,0
im_51_1.png,0
im_13_1.png,0
im_5_1.png,0
im_29_1.png,0
im_73_1.png,0
im_60_1.png,0
im_46_1.png,0
im_75_1.png,0
im_8_1.png,0
im_17_1.png,0
im_23_1.png,0
im_20_1.png,0
im_28_1.png,0
im_31_1.png,0
im_59_1.png,0
im_67_1.png,0
im_72_1.png,0
im_43_1.png,0
im_18_1.png,0
im_58_1.png,0
im_50_1.png,0
im_76_1.png,0
im_0_1.png,0
im_68_1.png,0
im_48_1.png,0
im_45_1.png,0
im_78_1.png,0
im_32_1.png,0
im_37_1.png,0
im_34_1.png,0
im_3_1.png,0
im_1_1.png,0
im_35_1.png,0
im_65_1.png,0
im_61_1.png,0
im_25_1.png,0
im_36_1.png,0
im_30_1.png,0
im_49_1.png,0
im_53_1.png,0
im_21_1.png,0
im_44_1.png,0
im_56_1.png,0
im_77_1.png,0
im_24_1.png,0
im_47_1.png,0
im_79_1.png,0
im_62_1.png,0
im_19_1.png,0
im_4_1.png,0
im_2_1.png,0
im_52_1.png,0
im_71_1.png,0
im_12_1.png,0
im_70_1.png,0
im_40_1.png,0
im_14_1.png,0
im_7_1.png,0
im_55_1.png,0
im_33_1.png,0
im_26_1.png,0
im_57_1.png,0
im_143_2.png,3
im_220_2.png,3
im_244_2.png,3
im_258_2.png,3
im_111_2.png,3
im_325_2.png,3
im_135_2.png,3
im_329_2.png,3
im_124_2.png,3
im_115_2.png,3
im_247_2.png,3
im_295_2.png,3
im_4_2.png,3
im_48_2.png,3
im_53_2.png,3
im_98_2.png,3
im_76_2.png,3
im_183_2.png,3
im_340_2.png,3
im_253_2.png,3
im_333_2.png,3
im_178_2.png,3
im_201_2.png,3
im_280_2.png,3
im_286_2.png,3
im_101_2.png,3
im_338_2.png,3
im_154_2.png,3
im_296_2.png,3
im_309_2.png,3
im_204_2.png,3
im_28_2.png,3
im_268_2.png,3
im_187_2.png,3
im_11_2.png,3
im_159_2.png,3
im_121_2.png,3
im_231_2.png,3
im_345_2.png,3
im_66_2.png,3
im_86_2.png,3
im_73_2.png,3
im_319_2.png,3
im_250_2.png,3
im_303_2.png,3
im_299_2.png,3
im_23_2.png,3
im_155_2.png,3
im_263_2.png,3
im_198_2.png,3
im_302_2.png,3
im_8_2.png,3
im_129_2.png,3
im_197_2.png,3
im_77_2.png,3
im_277_2.png,3
im_94_2.png,3
im_41_2.png,3
im_269_2.png,3
im_177_2.png,3
im_175_2.png,3
im_270_2.png,3
im_227_2.png,3
im_12_2.png,3
im_33_2.png,3
im_128_2.png,3
im_350_2.png,3
im_42_2.png,3
im_110_2.png,3
im_283_2.png,3
im_55_2.png,3
im_51_2.png,3
im_65_2.png,3
im_212_2.png,3
im_16_2.png,3
im_233_2.png,3
im_71_2.png,3
im_36_2.png,3
im_50_2.png,3
im_157_2.png,3
im_305_2.png,3
im_222_2.png,3
im_298_2.png,3
im_68_2.png,3
im_282_2.png,3
im_209_2.png,3
im_316_2.png,3
im_126_2.png,3
im_240_2.png,3
im_63_2.png,3
im_215_2.png,3
im_151_2.png,3
im_160_2.png,3
im_202_2.png,3
im_162_2.png,3
im_0_2.png,3
im_232_2.png,3
im_241_2.png,3
im_279_2.png,3
im_324_2.png,3
im_116_2.png,3
im_107_2.png,3
im_311_2.png,3
im_284_2.png,3
im_245_2.png,3
im_276_2.png,3
im_307_2.png,3
im_347_2.png,3
im_141_2.png,3
im_339_2.png,3
im_70_2.png,3
im_273_2.png,3
im_217_2.png,3
im_19_2.png,3
im_242_2.png,3
im_31_2.png,3
im_323_2.png,3
im_349_2.png,3
im_314_2.png,3
im_317_2.png,3
im_104_2.png,3
im_138_2.png,3
im_38_2.png,3
im_264_2.png,3
im_88_2.png,3
im_195_2.png,3
im_200_2.png,3
im_166_2.png,3
im_320_2.png,3
im_193_2.png,3
im_208_2.png,3
im_234_2.png,3
im_96_2.png,3
im_125_2.png,3
im_301_2.png,3
im_132_2.png,3
im_237_2.png,3
im_172_2.png,3
im_106_2.png,3
im_334_2.png,3
im_99_2.png,3
im_171_2.png,3
im_249_2.png,3
im_243_2.png,3
im_225_2.png,3
im_169_2.png,3
im_9_2.png,3
im_60_2.png,3
im_142_2.png,3
im_95_2.png,3
im_87_2.png,3
im_255_2.png,3
im_185_2.png,3
im_189_2.png,3
im_6_2.png,3
im_262_2.png,3
im_190_2.png,3
im_271_2.png,3
im_206_2.png,3
im_256_2.png,3
im_114_2.png,3
im_44_2.png,3
im_331_2.png,3
im_45_2.png,3
im_153_2.png,3
im_144_2.png,3
im_259_2.png,3
im_346_2.png,3
im_21_2.png,3
im_61_2.png,3
im_123_2.png,3
im_219_2.png,3
im_29_2.png,3
im_79_2.png,3
im_229_2.png,3
im_230_2.png,3
im_294_2.png,3
im_235_2.png,3
